pandas_concat,numpy_concatenate,numpy_predefined,python_list
81.2,65.91,0.1,0.55
79.41,67.23,0.1,0.54
75.49,71.03,0.09,0.58
74.16,67.57,0.09,0.6
74.13,66.56,0.1,0.55
73.83,67.57,0.11,0.55
75.15,67.06,0.14,0.58
73.71,66.24,0.09,0.57
73.86,66.52,0.09,0.64
73.57,66.47,0.09,0.55
73.04,68.36,0.09,0.55
73.17,67.41,0.09,0.55
75.3,67.41,0.09,0.55
76.38,66.81,0.09,0.55
77.49,67.21,0.09,0.56
76.9,67.03,0.09,0.57
75.73,66.9,0.09,0.59
75.53,66.7,0.09,0.56
76.4,66.8,0.09,0.55
74.05,66.55,0.1,0.56